league,abbreviation,name
NBA,ATL,Atlanta Hawks
NBA,BOS,Boston Celtics
NBA,BRK,Brooklyn Nets
NBA,CHI,Chicago Bulls
NBA,CHO,Charlotte Hornets
NBA,CLE,Cleveland Cavaliers
NBA,DAL,Dallas Mavericks
NBA,DEN,Denver Nuggets
NBA,DET,Detroit Pistons
NBA,GSW,Golden State Warriors
NBA,HOU,Houston Rockets
NBA,IND,Indiana Pacers
NBA,LAC,Los Angeles Clippers
NBA,LAL,Los Angeles Lakers
NBA,MEM,Memphis Grizzlies
NBA,MIA,Miami Heat
NBA,MIL,Milwaukee Bucks
NBA,MIN,Minnesota Timberwolves
NBA,NOP,New Orleans Pelicans
NBA,NYK,New York Knicks
NBA,OKC,Oklahoma City Thunder
NBA,ORL,Orlando Magic
NBA,PHI,Philadelphia 76ers
NBA,PHO,Phoenix Suns
NBA,POR,Portland Trail Blazers
NBA,SAC,Sacramento Kings
NBA,SAS,San Antonio Spurs
NBA,TOR,Toronto Raptors
NBA,UTA,Utah Jazz
NBA,WAS,Washington Wizards
